,p_resolution,p_experiment,p_doi,p_chain_uniprot_map,p_chains,p_pmid,p_ec_numbers,p_space_group,p_deposition_date,p_chemicals
2O2J,2.56,X-RAY DIFFRACTION,,"{'A': ['P9WFX9'], 'B': ['P9WFX9']}","['A', 'B']",,"[('A', ['4.2.1.20']), ('B', ['4.2.1.20'])]",C 2 2 21,29-NOV-06,
2P2G,2.7,X-RAY DIFFRACTION,10.1016/J.JMB.2007.11.025,"{'A': ['P9WIT9'], 'C': ['P9WIT9'], 'B': ['P9WIT9'], 'E': ['P9WIT9'], 'D': ['P9WIT9'], 'F': ['P9WIT9']}","['A', 'C', 'B', 'E', 'D', 'F']",18062991,"[('A', ['2.1.3.3']), ('C', ['2.1.3.3']), ('B', ['2.1.3.3']), ('E', ['2.1.3.3']), ('D', ['2.1.3.3']), ('F', ['2.1.3.3'])]",P 21 21 21,07-MAR-07,['SO4']
2PFC,2.3,X-RAY DIFFRACTION,10.1016/J.CHEMBIOL.2007.04.005,{'A': ['P9WM67']},['A'],17524985,,I 21 3,04-APR-07,['PLM']
2PKF,1.5,X-RAY DIFFRACTION,10.1074/JBC.M703290200,"{'A': ['P9WID5'], 'B': ['P9WID5']}","['A', 'B']",17597075,"[('A', ['2.7.1.20']), ('B', ['2.7.1.20'])]",C 1 2 1,17-APR-07,
2PKK,1.93,X-RAY DIFFRACTION,10.1074/JBC.M703290200,{'A': ['P9WID5']},['A'],17597075,"[('A', ['2.7.1.20'])]",P 31 2 1,17-APR-07,['2FA']
2PKM,1.9,X-RAY DIFFRACTION,10.1074/JBC.M703290200,{'A': ['P9WID5']},['A'],17597075,"[('A', ['2.7.1.20'])]",P 31 2 1,17-APR-07,['ADN']
2PKN,1.9,X-RAY DIFFRACTION,10.1074/JBC.M703290200,{'A': ['P9WID5']},['A'],17597075,"[('A', ['2.7.1.20'])]",C 1 2 1,18-APR-07,['ACP']
2PR2,2.5,X-RAY DIFFRACTION,10.1021/JA073160K,{'A': ['P9WGR1']},['A'],17636923,"[('A', ['1.3.1.9'])]",P 62 2 2,03-MAY-07,['DG1']
2PY4,1.49,X-RAY DIFFRACTION,10.1016/J.BBRC.2008.05.130,{'A': ['P9WNS5']},['A'],18519027,"[('A', ['3.6.1.23'])]",P 63,15-MAY-07,"['MG', 'DUP', 'TRS']"
2Q3B,1.8,X-RAY DIFFRACTION,10.1074/JBC.M703518200,{'A': ['P9WP55']},['A'],17567578,"[('A', ['2.5.1.47'])]",P 41 21 2,30-MAY-07,"['MPD', 'LLP', 'CL']"
2Q3C,2.1,X-RAY DIFFRACTION,10.1074/JBC.M703518200,"{'A': ['P9WP55'], 'B': ['PDB-B']}","['A', 'B']",17567578,"[('A', ['2.5.1.47'])]",P 41 21 2,30-MAY-07,"['MPD', 'LLP']"
2Q3D,2.2,X-RAY DIFFRACTION,10.1074/JBC.M703518200,{'A': ['P9WP55']},['A'],17567578,"[('A', ['2.5.1.47'])]",P 41 21 2,30-MAY-07,"['MPD', 'PDA']"
2Q74,2.6,X-RAY DIFFRACTION,10.1186/1472-6807-7-55,"{'A': ['P9WKI9'], 'C': ['P9WKI9'], 'B': ['P9WKI9']}","['A', 'C', 'B']",17725819,"[('A', ['3.1.3.25']), ('C', ['3.1.3.25']), ('B', ['3.1.3.25'])]",C 2 2 21,06-JUN-07,
2QC3,2.3,X-RAY DIFFRACTION,10.1016/J.JMB.2007.06.004,{'A': ['P9WNG5']},['A'],17604051,"[('A', ['2.3.1.39'])]",P 1 21 1,19-JUN-07,['ACY']
2QHF,1.65,X-RAY DIFFRACTION,,{'A': ['P9WPY1']},['A'],,"[('A', ['4.2.3.5'])]",P 64 2 2,02-JUL-07,"['NCA', 'CL', 'ACT', 'NA', 'TRS']"
2QJ3,3.0,X-RAY DIFFRACTION,10.1107/S1744309107042455,"{'A': ['P9WNG5'], 'B': ['P9WNG5']}","['A', 'B']",17909282,"[('A', ['2.3.1.39']), ('B', ['2.3.1.39'])]",P 62 2 2,06-JUL-07,['NI']
2QKX,2.75,X-RAY DIFFRACTION,10.1107/S0907444909001036,{'A': ['P9WMN3']},['A'],19237750,"[('A', ['2.3.1.157'])]",H 3 2,11-JUL-07,['GN1']
2QLP,2.47,X-RAY DIFFRACTION,10.1016/J.JMB.2007.11.099,"{'A': ['P9WP17'], 'C': ['P9WP17'], 'B': ['P9WP17'], 'E': ['P9WP17'], 'D': ['P9WP17'], 'F': ['P9WP17']}","['A', 'C', 'B', 'E', 'D', 'F']",18164314,"[('A', ['3.5.4.13']), ('C', ['3.5.4.13']), ('B', ['3.5.4.13']), ('E', ['3.5.4.13']), ('D', ['3.5.4.13']), ('F', ['3.5.4.13'])]",P 1 21 1,13-JUL-07,['1PE']
2QNX,2.7,X-RAY DIFFRACTION,10.1016/J.CHEMBIOL.2008.03.007,"{'A': ['P9WNG3'], 'B': ['P9WNG3']}","['A', 'B']",18420147,"[('A', ['2.3.1.41']), ('B', ['2.3.1.41'])]",C 2 2 21,19-JUL-07,"['MDX', 'UDT']"
2QNY,2.15,X-RAY DIFFRACTION,10.1016/J.CHEMBIOL.2008.03.007,"{'A': ['P9WNG3'], 'B': ['P9WNG3']}","['A', 'B']",18420147,"[('A', ['2.3.1.41']), ('B', ['2.3.1.41'])]",C 2 2 21,19-JUL-07,"['BME', 'DFD']"
2QNZ,2.3,X-RAY DIFFRACTION,10.1016/J.CHEMBIOL.2008.03.007,"{'A': ['P9WNG3'], 'B': ['P9WNG3']}","['A', 'B']",18420147,"[('A', ['2.3.1.41']), ('B', ['2.3.1.41'])]",C 2 2 21,19-JUL-07,"['BME', 'DFD']"
2QO0,1.85,X-RAY DIFFRACTION,10.1016/J.CHEMBIOL.2008.03.007,"{'A': ['P9WNG3'], 'B': ['P9WNG3']}","['A', 'B']",18420147,"[('A', ['2.3.1.41']), ('B', ['2.3.1.41'])]",P 21 21 21,19-JUL-07,['D1T']
2QO1,2.6,X-RAY DIFFRACTION,10.1016/J.CHEMBIOL.2008.03.007,"{'A': ['P9WNG3'], 'B': ['P9WNG3']}","['A', 'B']",18420147,"[('A', ['2.3.1.41']), ('B', ['2.3.1.41'])]",C 2 2 21,19-JUL-07,"['D1T', 'VZZ']"
2QX1,2.6,X-RAY DIFFRACTION,10.1016/J.BIOORG.2007.11.001,"{'A': ['P9WNG3'], 'B': ['P9WNG3']}","['A', 'B']",18096200,"[('A', ['2.3.1.41']), ('B', ['2.3.1.41'])]",C 2 2 21,10-AUG-07,"['D1T', 'COA']"
2QXX,2.0,X-RAY DIFFRACTION,10.1016/J.JMB.2007.11.099,"{'A': ['P9WP17'], 'B': ['P9WP17']}","['A', 'B']",18164314,"[('A', ['3.5.4.13']), ('B', ['3.5.4.13'])]",R 3 2,13-AUG-07,"['MG', 'TTP', '1PE']"
2UXS,2.7,X-RAY DIFFRACTION,,"{'A': ['P9WI55'], 'C': ['P9WI55'], 'B': ['P9WI55']}","['A', 'C', 'B']",,"[('A', ['3.6.1.1']), ('C', ['3.6.1.1']), ('B', ['3.6.1.1'])]",P 32 2 1,29-MAR-07,['PO4']
2VFW,2.3,X-RAY DIFFRACTION,10.1016/J.JMB.2008.05.060,"{'A': ['P9WFF5'], 'B': ['P9WFF5']}","['A', 'B']",18597781,"[('A', ['2.5.1.68']), ('B', ['2.5.1.68'])]",P 21 21 21,05-NOV-07,['SO4']
2VG0,1.7,X-RAY DIFFRACTION,10.1016/J.JMB.2008.05.060,"{'A': ['P9WFF5'], 'B': ['P9WFF5']}","['A', 'B']",18597781,"[('A', ['2.5.1.68']), ('B', ['2.5.1.68'])]",P 21 21 21,07-NOV-07,"['GOL', 'GPP']"
2VG1,1.7,X-RAY DIFFRACTION,10.1016/J.JMB.2008.05.060,"{'A': ['P9WFF5'], 'B': ['P9WFF5']}","['A', 'B']",18597781,"[('A', ['2.5.1.68']), ('B', ['2.5.1.68'])]",P 21 21 21,07-NOV-07,"['GOL', 'FPP', 'PO4']"
2VG2,1.95,X-RAY DIFFRACTION,10.1016/J.JMB.2008.05.060,"{'A': ['P9WFF7'], 'C': ['P9WFF7'], 'B': ['P9WFF7'], 'D': ['P9WFF7']}","['A', 'C', 'B', 'D']",18597781,"[('A', ['2.5.1.31']), ('C', ['2.5.1.31']), ('B', ['2.5.1.31']), ('D', ['2.5.1.31'])]",P 32,07-NOV-07,"['DPO', 'GOL', 'CL', 'PO4', 'IPE']"
2VG3,1.8,X-RAY DIFFRACTION,10.1016/J.JMB.2008.05.060,"{'A': ['P9WFF7'], 'C': ['P9WFF7'], 'B': ['P9WFF7'], 'D': ['P9WFF7']}","['A', 'C', 'B', 'D']",18597781,"[('A', ['2.5.1.31']), ('C', ['2.5.1.31']), ('B', ['2.5.1.31']), ('D', ['2.5.1.31'])]",P 32,08-NOV-07,"['GOL', 'CL', 'PO4', 'SO4', 'GPP', 'MG']"
2VG4,2.6,X-RAY DIFFRACTION,10.1016/J.JMB.2008.05.060,"{'A': ['P9WFF7'], 'C': ['P9WFF7'], 'B': ['P9WFF7'], 'D': ['P9WFF7']}","['A', 'C', 'B', 'D']",18597781,"[('A', ['2.5.1.31']), ('C', ['2.5.1.31']), ('B', ['2.5.1.31']), ('D', ['2.5.1.31'])]",P 32,08-NOV-07,
2VHV,2.8,X-RAY DIFFRACTION,10.1016/J.JMB.2008.01.091,"{'A': ['P9WQB1'], 'B': ['P9WQB1']}","['A', 'B']",18304579,"[('A', ['1.4.1.1']), ('B', ['1.4.1.1'])]",P 21 3,26-NOV-07,['NAI']
2VHW,2.0,X-RAY DIFFRACTION,10.1016/J.JMB.2008.01.091,"{'A': ['P9WQB1'], 'C': ['P9WQB1'], 'B': ['P9WQB1'], 'E': ['P9WQB1'], 'D': ['P9WQB1'], 'F': ['P9WQB1']}","['A', 'C', 'B', 'E', 'D', 'F']",18304579,"[('A', ['1.4.1.1']), ('C', ['1.4.1.1']), ('B', ['1.4.1.1']), ('E', ['1.4.1.1']), ('D', ['1.4.1.1']), ('F', ['1.4.1.1'])]",P 21 21 2,26-NOV-07,"['NAI', 'MG']"
2VHX,2.0,X-RAY DIFFRACTION,10.1016/J.JMB.2008.01.091,"{'A': ['P9WQB1'], 'C': ['P9WQB1'], 'B': ['P9WQB1'], 'E': ['P9WQB1'], 'D': ['P9WQB1'], 'F': ['P9WQB1']}","['A', 'C', 'B', 'E', 'D', 'F']",18304579,"[('A', ['1.4.1.1']), ('C', ['1.4.1.1']), ('B', ['1.4.1.1']), ('E', ['1.4.1.1']), ('D', ['1.4.1.1']), ('F', ['1.4.1.1'])]",P 21 21 2,26-NOV-07,"['NAD', 'MG', 'PYR']"
2VHY,2.3,X-RAY DIFFRACTION,10.1016/J.JMB.2008.01.091,"{'A': ['P9WQB1'], 'B': ['P9WQB1']}","['A', 'B']",18304579,"[('A', ['1.4.1.1']), ('B', ['1.4.1.1'])]",P 3 2 1,26-NOV-07,
2VHZ,2.04,X-RAY DIFFRACTION,10.1016/J.JMB.2008.01.091,"{'A': ['P9WQB1'], 'B': ['P9WQB1']}","['A', 'B']",18304579,"[('A', ['1.4.1.1']), ('B', ['1.4.1.1'])]",P 21 3,26-NOV-07,['NAI']
2VI5,2.3,X-RAY DIFFRACTION,10.1021/JO702631A,"{'A': ['P9WHE9'], 'C': ['P9WHE9'], 'B': ['P9WHE9'], 'E': ['P9WHE9'], 'D': ['P9WHE9'], 'G': ['P9WHE9'], 'F': ['P9WHE9'], 'I': ['P9WHE9'], 'H': ['P9WHE9'], 'J': ['P9WHE9']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'I', 'H', 'J']",18331058,"[('A', ['2.5.1.9']), ('C', ['2.5.1.9']), ('B', ['2.5.1.9']), ('E', ['2.5.1.9']), ('D', ['2.5.1.9']), ('G', ['2.5.1.9']), ('F', ['2.5.1.9']), ('I', ['2.5.1.9']), ('H', ['2.5.1.9']), ('J', ['2.5.1.9'])]",P 1,27-NOV-07,"['K', 'PO4', 'Y19']"
2VOE,2.6,X-RAY DIFFRACTION,10.1002/PROT.22101,"{'A': ['P9WQB1'], 'C': ['P9WQB1'], 'B': ['P9WQB1'], 'E': ['P9WQB1'], 'D': ['P9WQB1'], 'F': ['P9WQB1']}","['A', 'C', 'B', 'F', 'D', 'E']",18491387,"[('A', ['1.4.1.1']), ('C', ['1.4.1.1']), ('B', ['1.4.1.1']), ('F', ['1.4.1.1']), ('D', ['1.4.1.1']), ('E', ['1.4.1.1'])]",C 1 2 1,17-FEB-08,
2VOJ,2.6,X-RAY DIFFRACTION,10.1002/PROT.22101,"{'A': ['P9WQB1'], 'C': ['P9WQB1'], 'E': ['P9WQB1']}","['A', 'C', 'E']",18491387,"[('A', ['1.4.1.1']), ('C', ['1.4.1.1']), ('E', ['1.4.1.1'])]",P 43 21 2,18-FEB-08,"['NAD', '2OP']"
2VP8,2.64,X-RAY DIFFRACTION,10.1111/J.1574-6968.2008.01302.X,"{'A': ['P9WNC9'], 'B': ['P9WNC9']}","['A', 'B']",18680522,"[('A', ['2.1.5.15']), ('B', ['2.1.5.15'])]",P 32 2 1,27-FEB-08,['EDO']
2VVO,1.85,X-RAY DIFFRACTION,10.1016/J.JMB.2008.06.090,"{'A': ['P9WKD7'], 'C': ['P9WKD7'], 'B': ['P9WKD7'], 'E': ['P9WKD7'], 'D': ['P9WKD7']}","['A', 'C', 'B', 'D', 'E']",18640127,"[('A', ['5.3.1.6']), ('C', ['5.3.1.6']), ('B', ['5.3.1.6']), ('D', ['5.3.1.6']), ('E', ['5.3.1.6'])]",C 1 2 1,10-JUN-08,['A6P']
2VVP,1.65,X-RAY DIFFRACTION,10.1016/J.JMB.2008.06.090,"{'A': ['P9WKD7'], 'C': ['P9WKD7'], 'B': ['P9WKD7'], 'E': ['P9WKD7'], 'D': ['P9WKD7']}","['A', 'C', 'B', 'E', 'D']",18640127,"[('A', ['5.3.1.6']), ('C', ['5.3.1.6']), ('B', ['5.3.1.6']), ('E', ['5.3.1.6']), ('D', ['5.3.1.6'])]",C 1 2 1,10-JUN-08,"['5RP', 'R52']"
2VVQ,2.0,X-RAY DIFFRACTION,10.1016/J.JMB.2008.06.090,"{'A': ['P9WKD7'], 'C': ['P9WKD7'], 'B': ['P9WKD7'], 'E': ['P9WKD7'], 'D': ['P9WKD7']}","['A', 'C', 'B', 'E', 'D']",18640127,"[('A', ['5.3.1.6']), ('C', ['5.3.1.6']), ('B', ['5.3.1.6']), ('E', ['5.3.1.6']), ('D', ['5.3.1.6'])]",C 1 2 1,10-JUN-08,"['R10', 'SO4']"
2W19,2.15,X-RAY DIFFRACTION,10.1038/EMBOJ.2009.165,"{'A': ['O53512'], 'C': ['P9WIC1'], 'B': ['O53512'], 'D': ['P9WIC1']}","['C', 'B', 'D', 'A']",19556970,"[('C', ['5.4.99.5']), ('B', ['2.5.1.54']), ('D', ['5.4.99.5']), ('A', ['2.5.1.54'])]",P 32 2 1,16-OCT-08,"['SO4', 'GOL']"
2W1A,2.35,X-RAY DIFFRACTION,10.1038/EMBOJ.2009.165,"{'A': ['O53512'], 'C': ['P9WIC1'], 'B': ['O53512'], 'D': ['P9WIC1']}","['A', 'C', 'B', 'D']",19556970,"[('A', ['2.5.1.54']), ('C', ['5.4.99.5']), ('B', ['2.5.1.54']), ('D', ['5.4.99.5'])]",P 32 2 1,16-OCT-08,"['TSA', 'GOL', 'PG4', 'SO4', 'CE1', 'MN']"
2WGD,2.01,X-RAY DIFFRACTION,10.1016/J.STR.2009.04.012,{'A': ['P9WQD9']},['A'],19604480,"[('A', ['2.3.1.41'])]",P 31 2 1,17-APR-09,"['GOL', 'IPA', 'NA']"
2WGE,1.8,X-RAY DIFFRACTION,10.1016/J.STR.2009.04.012,{'A': ['P9WQD9']},['A'],19604480,"[('A', ['2.3.1.41'])]",P 31 2 1,17-APR-09,"['GOL', 'IPA', 'NA', 'TLM']"
2WGF,2.15,X-RAY DIFFRACTION,10.1016/J.STR.2009.04.012,"{'A': ['P9WQD9'], 'C': ['P9WQD9'], 'B': ['P9WQD9'], 'E': ['P9WQD9'], 'D': ['P9WQD9'], 'G': ['P9WQD9'], 'F': ['P9WQD9'], 'H': ['P9WQD9']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'H']",19604480,"[('A', ['2.3.1.41']), ('C', ['2.3.1.41']), ('B', ['2.3.1.41']), ('E', ['2.3.1.41']), ('D', ['2.3.1.41']), ('G', ['2.3.1.41']), ('F', ['2.3.1.41']), ('H', ['2.3.1.41'])]",P 31,17-APR-09,"['PEG', 'NA', 'PG4']"
2WGG,2.0,X-RAY DIFFRACTION,10.1016/J.STR.2009.04.012,"{'A': ['P9WQD9'], 'C': ['P9WQD9'], 'B': ['P9WQD9'], 'E': ['P9WQD9'], 'D': ['P9WQD9'], 'G': ['P9WQD9'], 'F': ['P9WQD9'], 'H': ['P9WQD9']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'H']",19604480,"[('A', ['2.3.1.41']), ('C', ['2.3.1.41']), ('B', ['2.3.1.41']), ('E', ['2.3.1.41']), ('D', ['2.3.1.41']), ('G', ['2.3.1.41']), ('F', ['2.3.1.41']), ('H', ['2.3.1.41'])]",P 31,17-APR-09,"['2PE', 'PEG', 'NA', 'TLM']"
2WGS,2.55,X-RAY DIFFRACTION,10.1016/J.JMB.2009.08.028,"{'A': ['P9WN39'], 'C': ['P9WN39'], 'B': ['P9WN39'], 'E': ['P9WN39'], 'D': ['P9WN39'], 'G': ['P9WN39'], 'F': ['P9WN39'], 'I': ['P9WN39'], 'H': ['P9WN39'], 'K': ['P9WN39'], 'J': ['P9WN39'], 'L': ['P9WN39']}","['F', 'A', 'C', 'B', 'E', 'D', 'G', 'I', 'H', 'K', 'J', 'L']",19695264,"[('F', ['6.3.1.2']), ('A', ['6.3.1.2']), ('C', ['6.3.1.2']), ('B', ['6.3.1.2']), ('E', ['6.3.1.2']), ('D', ['6.3.1.2']), ('G', ['6.3.1.2']), ('I', ['6.3.1.2']), ('H', ['6.3.1.2']), ('K', ['6.3.1.2']), ('J', ['6.3.1.2']), ('L', ['6.3.1.2'])]",P 21 21 21,27-APR-09,"['CL', '1AZ']"
2WHI,2.2,X-RAY DIFFRACTION,10.1016/J.JMB.2009.08.028,"{'A': ['P9WN39'], 'C': ['P9WN39'], 'B': ['P9WN39'], 'E': ['P9WN39'], 'D': ['P9WN39'], 'F': ['P9WN39']}","['F', 'A', 'C', 'B', 'E', 'D']",19695264,"[('F', ['6.3.1.2']), ('A', ['6.3.1.2']), ('C', ['6.3.1.2']), ('B', ['6.3.1.2']), ('E', ['6.3.1.2']), ('D', ['6.3.1.2'])]",C 2 2 21,05-MAY-09,"['1PE', 'CL', 'PO4', 'P3S', 'MG', '1AZ']"
2WTZ,3.0,X-RAY DIFFRACTION,10.1016/J.TUBE.2009.10.007,"{'A': ['P9WJL3'], 'C': ['P9WJL3'], 'B': ['P9WJL3'], 'D': ['P9WJL3']}","['A', 'C', 'B', 'D']",19945347,"[('A', ['6.3.2.13']), ('C', ['6.3.2.13']), ('B', ['6.3.2.13']), ('D', ['6.3.2.13'])]",P 1,25-SEP-09,"['UAG', 'MG', 'KCX']"
2WU8,2.25,X-RAY DIFFRACTION,10.1107/S1744309110011656,{'A': ['P9WN69']},['A'],20445242,"[('A', ['5.3.1.9'])]",I 21 21 21,01-OCT-09,['SO4']
2X22,2.1,X-RAY DIFFRACTION,10.1074/JBC.M109.090373,"{'A': ['P9WGR1'], 'B': ['P9WGR1']}","['A', 'B']",20200152,"[('A', ['1.3.1.9']), ('B', ['1.3.1.9'])]",C 2 2 21,10-JAN-10,"['NAD', 'TCU', 'DMS']"
2X23,1.81,X-RAY DIFFRACTION,10.1074/JBC.M109.090373,"{'A': ['P9WGR1'], 'B': ['P9WGR1'], 'E': ['P9WGR1'], 'G': ['P9WGR1']}","['A', 'B', 'E', 'G']",20200152,"[('A', ['1.3.1.9']), ('B', ['1.3.1.9']), ('E', ['1.3.1.9']), ('G', ['1.3.1.9'])]",P 1 21 1,10-JAN-10,"['NAD', 'DMS', 'TCU']"
2XB8,2.4,X-RAY DIFFRACTION,10.1002/CMDC.201000281,{'A': ['P9WPX7']},['A'],20815012,"[('A', ['4.2.1.10'])]",F 2 3,08-APR-10,"['SO4', 'XNW', 'TRS']"
2XJA,3.0,X-RAY DIFFRACTION,10.1007/S13238-010-0132-9,"{'A': ['P9WJL3'], 'C': ['P9WJL3'], 'B': ['P9WJL3'], 'D': ['P9WJL3']}","['A', 'C', 'B', 'D']",21153518,"[('A', ['6.3.2.13']), ('C', ['6.3.2.13']), ('B', ['6.3.2.13']), ('D', ['6.3.2.13'])]",P 1,03-JUL-10,"['UAG', 'ADP', 'MG', 'KCX']"
2XWN,2.9,X-RAY DIFFRACTION,10.1107/S0907444911006160,"{'A': ['P9WKG9'], 'B': ['P9WKG9']}","['A', 'B']",21543842,"[('A', ['2.7.7.60']), ('B', ['2.7.7.60'])]",P 21 21 21,04-NOV-10,"['MG', 'CTP']"
2Y1C,1.9,X-RAY DIFFRACTION,10.1021/JM2000085,"{'A': ['A2VLK3'], 'B': ['A2VLK3']}","['A', 'B']",21678907,"[('A', ['1.1.1.267']), ('B', ['1.1.1.267'])]",P 1 21 1,08-DEC-10,['MN']
2Y1D,2.05,X-RAY DIFFRACTION,10.1021/JM2000085,"{'A': ['A2VLK3'], 'B': ['A2VLK3']}","['A', 'B']",21678907,"[('A', ['1.1.1.267']), ('B', ['1.1.1.267'])]",P 1 21 1,08-DEC-10,"['34F', 'MN']"
2Y1E,1.65,X-RAY DIFFRACTION,10.1021/JM2000085,"{'A': ['A2VLK3'], 'B': ['A2VLK3']}","['A', 'B']",21678907,"[('A', ['1.1.1.267']), ('B', ['1.1.1.267'])]",P 1 21 1,08-DEC-10,"['SO4', 'MN']"
2Y1F,1.96,X-RAY DIFFRACTION,10.1021/JM2000085,"{'A': ['A2VLK3'], 'B': ['A2VLK3']}","['A', 'B']",21678907,"[('A', ['1.1.1.267']), ('B', ['1.1.1.267'])]",P 1 21 1,08-DEC-10,"['SO4', '34F', 'MN', 'NDP']"
2Y1G,1.95,X-RAY DIFFRACTION,10.1021/JM2000085,"{'A': ['A2VLK3'], 'B': ['A2VLK3']}","['A', 'B']",21678907,"[('A', ['1.1.1.267']), ('B', ['1.1.1.267'])]",P 1 21 1,08-DEC-10,"['SO4', 'MN', 'FM5']"
2Y71,1.5,X-RAY DIFFRACTION,10.1021/JM2006063,{'A': ['P9WPX7']},['A'],21780742,"[('A', ['4.2.1.10'])]",F 2 3,28-JAN-11,"['SO4', 'CB6', 'NA']"
2Y76,2.5,X-RAY DIFFRACTION,10.1021/JM2006063,{'A': ['P9WPX7']},['A'],21780742,"[('A', ['4.2.1.10'])]",F 2 3,28-JAN-11,"['CB7', 'SO4']"
2Y77,1.5,X-RAY DIFFRACTION,10.1021/JM2006063,{'A': ['P9WPX7']},['A'],21780742,"[('A', ['4.2.1.10'])]",F 2 3,28-JAN-11,"['SO4', 'CB8']"
2Y85,2.4,X-RAY DIFFRACTION,10.1073/PNAS.1015996108,"{'A': ['P9WMM4'], 'C': ['P9WMM4'], 'B': ['P9WMM4'], 'D': ['P9WMM4']}","['A', 'C', 'B', 'D']",21321225,"[('A', ['5.3.1.24', '5.3.1.16']), ('C', ['5.3.1.24', '5.3.1.16']), ('B', ['5.3.1.24', '5.3.1.16']), ('D', ['5.3.1.24', '5.3.1.16'])]",P 1 21 1,03-FEB-11,"['137', 'NA', 'CL']"
2Y88,1.33,X-RAY DIFFRACTION,10.1073/PNAS.1015996108,{'A': ['P9WMM4']},['A'],21321225,"[('A', ['5.3.1.24', '5.3.1.16'])]",P 43 21 2,03-FEB-11,['2ER']
2Y89,2.5,X-RAY DIFFRACTION,10.1073/PNAS.1015996108,{'A': ['P9WMM4']},['A'],21321225,"[('A', ['5.3.1.24', '5.3.1.16'])]",P 43 3 2,03-FEB-11,['SO4']
2YPO,2.0,X-RAY DIFFRACTION,10.1016/J.JMB.2012.12.019,"{'A': ['O53512'], 'B': ['O53512']}","['B', 'A']",23274137,"[('B', ['2.5.1.54']), ('A', ['2.5.1.54'])]",P 32 2 1,31-OCT-12,"['SO4', 'GOL', 'MN', 'PHE']"
2YPP,2.3,X-RAY DIFFRACTION,10.1016/J.JMB.2012.12.019,"{'A': ['O53512'], 'B': ['O53512']}","['A', 'B']",23274137,"[('A', ['2.5.1.54']), ('B', ['2.5.1.54'])]",P 32 2 1,31-OCT-12,"['GOL', 'CL', 'SO4', 'MN', 'TYR']"
2YPQ,2.76,X-RAY DIFFRACTION,10.1016/J.JMB.2012.12.019,"{'A': ['O53512'], 'B': ['O53512']}","['A', 'B']",23274137,"[('A', ['2.5.1.54']), ('B', ['2.5.1.54'])]",P 32 2 1,31-OCT-12,"['GOL', 'CL', 'PO4', 'SO4', 'TRP', 'MN', 'TYR']"
2ZIZ,2.2,X-RAY DIFFRACTION,10.1110/PS.038125.108,"{'A': ['P9WGV3'], 'C': ['P9WGV3'], 'B': ['P9WGV3'], 'D': ['P9WGV3']}","['A', 'C', 'D', 'B']",18815415,"[('A', ['3.3.1.1']), ('C', ['3.3.1.1']), ('D', ['3.3.1.1']), ('B', ['3.3.1.1'])]",P 1 21 1,29-FEB-08,"['NAD', 'AD3']"
2ZJ0,2.42,X-RAY DIFFRACTION,10.1110/PS.038125.108,"{'A': ['P9WGV3'], 'C': ['P9WGV3'], 'B': ['P9WGV3'], 'D': ['P9WGV3']}","['A', 'B', 'C', 'D']",18815415,"[('A', ['3.3.1.1']), ('B', ['3.3.1.1']), ('C', ['3.3.1.1']), ('D', ['3.3.1.1'])]",P 1 21 1,29-FEB-08,"['NAD', '2FA']"
2ZJ1,2.01,X-RAY DIFFRACTION,10.1110/PS.038125.108,"{'A': ['P9WGV3'], 'C': ['P9WGV3'], 'B': ['P9WGV3'], 'D': ['P9WGV3']}","['A', 'B', 'C', 'D']",18815415,"[('A', ['3.3.1.1']), ('B', ['3.3.1.1']), ('C', ['3.3.1.1']), ('D', ['3.3.1.1'])]",P 1 21 1,29-FEB-08,"['NAD', 'ARJ']"
2ZS7,2.65,X-RAY DIFFRACTION,10.1107/S0907444909002170,{'A': ['P9WPA7']},['A'],19307712,"[('A', ['2.7.1.33'])]",P 31 2 1,03-SEP-08,"['GOL', 'NA', 'FLC']"
2ZS8,2.8,X-RAY DIFFRACTION,10.1107/S0907444909002170,{'A': ['P9WPA7']},['A'],19307712,"[('A', ['2.7.1.33'])]",P 31 2 1,03-SEP-08,"['GOL', 'ADP']"
2ZS9,2.7,X-RAY DIFFRACTION,10.1107/S0907444909002170,{'A': ['P9WPA7']},['A'],19307712,"[('A', ['2.7.1.33'])]",P 31 2 1,04-SEP-08,"['GOL', 'NA', 'ADP', 'PAU']"
2ZSA,2.5,X-RAY DIFFRACTION,10.1107/S0907444909002170,{'A': ['P9WPA7']},['A'],19307712,"[('A', ['2.7.1.33'])]",P 31 2 1,04-SEP-08,"['GOL', 'CL', 'ADP', 'NA', 'PAZ']"
2ZSB,2.75,X-RAY DIFFRACTION,10.1107/S0907444909002170,{'A': ['P9WPA7']},['A'],19307712,"[('A', ['2.7.1.33'])]",P 31 2 1,04-SEP-08,"['GOL', 'ADP']"
2ZSD,2.5,X-RAY DIFFRACTION,10.1107/S0907444909002170,{'A': ['P9WPA7']},['A'],19307712,"[('A', ['2.7.1.33'])]",P 31 2 1,05-SEP-08,"['GOL', 'EDO', 'COA', 'NA']"
2ZSE,2.5,X-RAY DIFFRACTION,10.1107/S0907444909002170,{'A': ['P9WPA7']},['A'],19307712,"[('A', ['2.7.1.33'])]",P 31 2 1,05-SEP-08,"['ACP', 'FLC', 'PAU', 'NA', 'GOL', 'EDO']"
