,p_resolution,p_experiment,p_doi,p_chemicals,p_chain_uniprot_map,p_chains,p_pmid,p_space_group,p_deposition_date,p_ec_numbers
3SZU,1.4,X-RAY DIFFRACTION,10.1016/J.JMB.2011.11.033,"['F3S', 'H6P']","{'A': ['P62623'], 'B': ['P62623']}","['A', 'B']",22137895,P 21 21 21,19-JUL-11,"[('A', ['1.17.1.2']), ('B', ['1.17.1.2'])]"
3T08,2.0,X-RAY DIFFRACTION,10.1016/J.ABB.2011.11.017,"['DMS', 'NA', 'MG', 'IPT']","{'A': ['P00722'], 'C': ['P00722'], 'B': ['P00722'], 'D': ['P00722']}","['A', 'C', 'B', 'D']",22155115,P 21 21 21,19-JUL-11,"[('A', ['3.2.1.23']), ('C', ['3.2.1.23']), ('B', ['3.2.1.23']), ('D', ['3.2.1.23'])]"
3T09,1.75,X-RAY DIFFRACTION,10.1016/J.ABB.2011.11.017,"['DMS', 'NA', '149', 'MG']","{'A': ['P00722'], 'C': ['P00722'], 'B': ['P00722'], 'D': ['P00722']}","['A', 'C', 'B', 'D']",22155115,P 1 21 1,19-JUL-11,"[('A', ['3.2.1.23']), ('C', ['3.2.1.23']), ('B', ['3.2.1.23']), ('D', ['3.2.1.23'])]"
3T0A,1.9,X-RAY DIFFRACTION,10.1016/J.ABB.2011.11.017,"['DMS', 'NA', 'MG']","{'A': ['P00722'], 'C': ['P00722'], 'B': ['P00722'], 'D': ['P00722']}","['A', 'C', 'B', 'D']",22155115,P 21 21 21,19-JUL-11,"[('A', ['3.2.1.23']), ('C', ['3.2.1.23']), ('B', ['3.2.1.23']), ('D', ['3.2.1.23'])]"
3T0B,2.4,X-RAY DIFFRACTION,10.1016/J.ABB.2011.11.017,"['DMS', 'NA', 'MG', 'IPT']","{'A': ['P00722'], 'C': ['P00722'], 'B': ['P00722'], 'D': ['P00722']}","['A', 'C', 'B', 'D']",22155115,P 21 21 21,19-JUL-11,"[('A', ['3.2.1.23']), ('C', ['3.2.1.23']), ('B', ['3.2.1.23']), ('D', ['3.2.1.23'])]"
3T0D,1.93,X-RAY DIFFRACTION,10.1016/J.ABB.2011.11.017,"['DMS', 'NA', '149', 'MG']","{'A': ['P00722'], 'C': ['P00722'], 'B': ['P00722'], 'D': ['P00722']}","['A', 'C', 'B', 'D']",22155115,P 21 21 21,20-JUL-11,"[('A', ['3.2.1.23']), ('C', ['3.2.1.23']), ('B', ['3.2.1.23']), ('D', ['3.2.1.23'])]"
3T0F,1.9,X-RAY DIFFRACTION,10.1016/J.JMB.2011.11.033,"['F3S', 'H6P']","{'A': ['P62623'], 'B': ['P62623']}","['A', 'B']",22137895,P 21 21 21,20-JUL-11,"[('A', ['1.17.1.2']), ('B', ['1.17.1.2'])]"
3T0G,2.1,X-RAY DIFFRACTION,10.1016/J.JMB.2011.11.033,"['F3S', 'H6P']","{'A': ['P62623'], 'B': ['P62623']}","['A', 'B']",22137895,P 21 21 21,20-JUL-11,"[('A', ['1.17.1.2']), ('B', ['1.17.1.2'])]"
3T2O,1.85,X-RAY DIFFRACTION,10.1016/J.ABB.2011.11.017,"['DMS', 'NA', 'MG']","{'A': ['P00722'], 'C': ['P00722'], 'B': ['P00722'], 'D': ['P00722']}","['A', 'C', 'B', 'D']",22155115,P 21 21 21,22-JUL-11,"[('A', ['3.2.1.23']), ('C', ['3.2.1.23']), ('B', ['3.2.1.23']), ('D', ['3.2.1.23'])]"
3T2P,2.6,X-RAY DIFFRACTION,10.1016/J.ABB.2011.11.017,"['DMS', 'NA', 'MG', 'IPT']","{'A': ['P00722'], 'C': ['P00722'], 'B': ['P00722'], 'D': ['P00722']}","['A', 'C', 'B', 'D']",22155115,P 21 21 21,22-JUL-11,"[('A', ['3.2.1.23']), ('C', ['3.2.1.23']), ('B', ['3.2.1.23']), ('D', ['3.2.1.23'])]"
3T2Q,2.4,X-RAY DIFFRACTION,10.1016/J.ABB.2011.11.017,"['DMS', 'NA', '149', 'MG']","{'A': ['P00722'], 'C': ['P00722'], 'B': ['P00722'], 'D': ['P00722']}","['A', 'C', 'B', 'D']",22155115,P 21 21 21,22-JUL-11,"[('A', ['3.2.1.23']), ('C', ['3.2.1.23']), ('B', ['3.2.1.23']), ('D', ['3.2.1.23'])]"
3T36,2.25,X-RAY DIFFRACTION,10.1021/BI300900T,['SO4'],"{'A': ['P0C960'], 'C': ['P0C960'], 'B': ['P0C960'], 'E': ['P0C960'], 'D': ['P0C960']}","['A', 'C', 'B', 'D', 'E']",23075328,P 21 21 21,24-JUL-11,"[('A', ['4.2.2.-']), ('C', ['4.2.2.-']), ('B', ['4.2.2.-']), ('D', ['4.2.2.-']), ('E', ['4.2.2.-'])]"
3T51,3.9,X-RAY DIFFRACTION,10.1016/J.JMB.2012.05.038,['CU'],"{'A': ['P38054'], 'C': ['P77239'], 'B': ['P77239']}","['A', 'C', 'B']",22683351,H 3 2,26-JUL-11,
3T53,3.37,X-RAY DIFFRACTION,10.1016/J.JMB.2012.05.038,['CU'],"{'A': ['P38054'], 'C': ['P77239'], 'B': ['P77239']}","['A', 'C', 'B']",22683351,H 3 2,26-JUL-11,
3T56,3.42,X-RAY DIFFRACTION,10.1016/J.JMB.2012.05.038,['CU'],"{'A': ['P38054'], 'C': ['P77239'], 'B': ['P77239']}","['A', 'C', 'B']",22683351,H 3 2,26-JUL-11,
3T88,2.0,X-RAY DIFFRACTION,10.1021/BI200877X,"['S0N', 'PGE', 'GOL', 'CL']","{'A': ['P0ABU0'], 'C': ['P0ABU0'], 'B': ['P0ABU0'], 'E': ['P0ABU0'], 'D': ['P0ABU0'], 'F': ['P0ABU0']}","['F', 'A', 'C', 'B', 'E', 'D']",21830810,P 21 21 2,01-AUG-11,"[('F', ['4.1.3.36']), ('A', ['4.1.3.36']), ('C', ['4.1.3.36']), ('B', ['4.1.3.36']), ('E', ['4.1.3.36']), ('D', ['4.1.3.36'])]"
3T89,1.95,X-RAY DIFFRACTION,10.1021/BI200877X,"['GOL', 'MLI']","{'A': ['P0ABU0'], 'C': ['P0ABU0'], 'B': ['P0ABU0'], 'E': ['P0ABU0'], 'D': ['P0ABU0'], 'F': ['P0ABU0']}","['A', 'C', 'B', 'E', 'D', 'F']",21830810,P 21 21 21,01-AUG-11,"[('A', ['4.1.3.36']), ('C', ['4.1.3.36']), ('B', ['4.1.3.36']), ('E', ['4.1.3.36']), ('D', ['4.1.3.36']), ('F', ['4.1.3.36'])]"
3TAT,3.5,X-RAY DIFFRACTION,10.1107/S0907444999006630,['PLP'],"{'A': ['P04693'], 'C': ['P04693'], 'B': ['P04693'], 'E': ['P04693'], 'D': ['P04693'], 'F': ['P04693']}","['A', 'C', 'B', 'E', 'D', 'F']",10417420,P 32,12-AUG-98,"[('A', ['2.6.1.57']), ('C', ['2.6.1.57']), ('B', ['2.6.1.57']), ('E', ['2.6.1.57']), ('D', ['2.6.1.57']), ('F', ['2.6.1.57'])]"
3TCF,2.0,X-RAY DIFFRACTION,10.1016/J.JMB.2011.09.043,,"{'A': ['P23843'], 'C': ['P23843'], 'B': ['P23843'], 'E': ['P23843'], 'D': ['P23843'], 'G': ['P23843'], 'F': ['P23843'], 'I': ['PDB-I'], 'H': ['P23843'], 'K': ['PDB-K'], 'J': ['PDB-J'], 'M': ['PDB-M'], 'L': ['PDB-L'], 'O': ['PDB-O'], 'N': ['PDB-N'], 'P': ['PDB-P']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'I', 'H', 'K', 'J', 'M', 'L', 'O', 'N', 'P']",21983341,P 1 21 1,09-AUG-11,
3TCG,2.0,X-RAY DIFFRACTION,10.1016/J.JMB.2011.09.043,,"{'A': ['P23843'], 'C': ['P23843'], 'B': ['P23843'], 'E': ['P23843'], 'D': ['P23843'], 'G': ['P23843'], 'F': ['P23843'], 'I': ['PDB-I'], 'H': ['P23843'], 'K': ['PDB-K'], 'J': ['PDB-J'], 'M': ['PDB-M'], 'L': ['PDB-L'], 'O': ['PDB-O'], 'N': ['PDB-N'], 'P': ['PDB-P']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'I', 'H', 'K', 'J', 'M', 'L', 'O', 'N', 'P']",21983341,P 1 21 1,09-AUG-11,
3TCH,1.98,X-RAY DIFFRACTION,10.1016/J.JMB.2011.09.043,,{'A': ['P23843']},['A'],21983341,P 21 21 21,09-AUG-11,
3TEJ,1.9,X-RAY DIFFRACTION,10.1016/J.CHEMBIOL.2011.09.018,['UF0'],"{'A': ['P11454'], 'B': ['P11454']}","['A', 'B']",22118682,P 21 21 21,15-AUG-11,"[('A', ['2.7.7.-']), ('B', ['2.7.7.-'])]"
3TG0,1.2,X-RAY DIFFRACTION,10.1016/J.JMB.2011.10.040,"['ZN', 'PO4', 'MG']","{'A': ['P00634'], 'C': ['P00634'], 'B': ['P00634'], 'D': ['P00634']}","['C', 'A', 'B', 'D']",22056344,P 1 21 1,16-AUG-11,"[('C', ['3.1.3.1']), ('A', ['3.1.3.1']), ('B', ['3.1.3.1']), ('D', ['3.1.3.1'])]"
3TH8,2.11,X-RAY DIFFRACTION,10.1021/ML300038T,['TH9'],"{'A': ['P60472'], 'B': ['P60472']}","['A', 'B']",22662288,P 21 21 21,18-AUG-11,"[('A', ['2.5.1.31']), ('B', ['2.5.1.31'])]"
3TLK,1.85,X-RAY DIFFRACTION,,"['DIO', 'FE', 'EB4']","{'A': ['P0AEL6'], 'C': ['P0AEL6'], 'B': ['P0AEL6']}","['A', 'C', 'B']",,C 2 2 21,30-AUG-11,
3TM7,1.7,X-RAY DIFFRACTION,10.1107/S1744309112009487,['SO4'],"{'A': ['P0A790'], 'C': ['P0A790'], 'B': ['P0A790'], 'D': ['P0A790']}","['A', 'C', 'B', 'D']",22505409,P 61 2 2,31-AUG-11,"[('A', ['4.1.1.11']), ('C', ['4.1.1.11']), ('B', ['4.1.1.11']), ('D', ['4.1.1.11'])]"
3TMS,2.1,X-RAY DIFFRACTION,10.1002/PROT.340080406,['PO4'],{'A': ['P0A884']},['A'],2128651,I 21 3,19-SEP-91,"[('A', ['2.1.1.45'])]"
3TOR,2.0,X-RAY DIFFRACTION,10.1042/BST20110731,"['CA', 'HEC', 'EU']","{'A': ['P0ABK9'], 'C': ['P0ABK9'], 'B': ['P0ABK9'], 'D': ['P0ABK9']}","['A', 'C', 'B', 'D']",22103542,P 21 21 21,06-SEP-11,"[('A', ['1.7.2.2']), ('C', ['1.7.2.2']), ('B', ['1.7.2.2']), ('D', ['1.7.2.2'])]"
3TTT,1.58,X-RAY DIFFRACTION,10.1016/J.ABB.2011.11.022,['HEM'],"{'A': ['P21179'], 'C': ['P21179'], 'B': ['P21179'], 'D': ['P21179']}","['A', 'C', 'B', 'D']",22172685,P 1 21 1,15-SEP-11,"[('A', ['1.11.1.6']), ('C', ['1.11.1.6']), ('B', ['1.11.1.6']), ('D', ['1.11.1.6'])]"
3TTU,1.89,X-RAY DIFFRACTION,10.1016/J.ABB.2011.11.022,['HEM'],"{'A': ['P21179'], 'C': ['P21179'], 'B': ['P21179'], 'D': ['P21179']}","['A', 'C', 'B', 'D']",22172685,P 1 21 1,15-SEP-11,"[('A', ['1.11.1.6']), ('C', ['1.11.1.6']), ('B', ['1.11.1.6']), ('D', ['1.11.1.6'])]"
3TTV,1.45,X-RAY DIFFRACTION,10.1016/J.ABB.2011.11.022,"['HEM', 'OCS']","{'A': ['P21179'], 'C': ['P21179'], 'B': ['P21179'], 'D': ['P21179']}","['A', 'C', 'B', 'D']",22172685,P 1 21 1,15-SEP-11,"[('A', ['1.11.1.6']), ('C', ['1.11.1.6']), ('B', ['1.11.1.6']), ('D', ['1.11.1.6'])]"
3TTW,1.62,X-RAY DIFFRACTION,10.1016/J.ABB.2011.11.022,"['HEM', 'OCS']","{'A': ['P21179'], 'C': ['P21179'], 'B': ['P21179'], 'D': ['P21179']}","['A', 'C', 'B', 'D']",22172685,P 1 21 1,15-SEP-11,"[('A', ['1.11.1.6']), ('C', ['1.11.1.6']), ('B', ['1.11.1.6']), ('D', ['1.11.1.6'])]"
3TTX,1.74,X-RAY DIFFRACTION,10.1016/J.ABB.2011.11.022,"['HEM', 'OCS']","{'A': ['P21179'], 'C': ['P21179'], 'B': ['P21179'], 'D': ['P21179']}","['A', 'C', 'B', 'D']",22172685,P 1 21 1,15-SEP-11,"[('A', ['1.11.1.6']), ('C', ['1.11.1.6']), ('B', ['1.11.1.6']), ('D', ['1.11.1.6'])]"
3TUI,2.9,X-RAY DIFFRACTION,10.1002/PRO.765,['ADP'],"{'A': ['P31547'], 'C': ['P30750'], 'B': ['P31547'], 'E': ['P31547'], 'D': ['P30750'], 'G': ['P30750'], 'F': ['P31547'], 'H': ['P30750']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'H']",22095702,P 1 21 1,16-SEP-11,"[('C', ['3.6.3.-']), ('D', ['3.6.3.-']), ('G', ['3.6.3.-']), ('H', ['3.6.3.-'])]"
3TUJ,4.0,X-RAY DIFFRACTION,10.1002/PRO.765,['MSE'],"{'A': ['P31547'], 'C': ['P30750'], 'B': ['P31547'], 'D': ['P30750']}","['A', 'C', 'B', 'D']",22095702,I 2 2 2,16-SEP-11,"[('C', ['3.6.3.-']), ('D', ['3.6.3.-'])]"
3TUZ,3.4,X-RAY DIFFRACTION,10.1002/PRO.765,"['MSE', 'ADP']","{'A': ['P31547'], 'C': ['P30750'], 'B': ['P31547'], 'E': ['P31547'], 'D': ['P30750'], 'G': ['P30750'], 'F': ['P31547'], 'H': ['P30750']}","['G', 'A', 'C', 'B', 'E', 'D', 'F', 'H']",22095702,P 1 21 1,19-SEP-11,"[('G', ['3.6.3.-']), ('C', ['3.6.3.-']), ('D', ['3.6.3.-']), ('H', ['3.6.3.-'])]"
3TWD,1.9,X-RAY DIFFRACTION,10.1074/JBC.M111.274068,"['SO4', 'GOB']","{'A': ['P0ACC7'], 'B': ['P0ACC7']}","['A', 'B']",21984832,P 63,21-SEP-11,"[('A', ['2.7.7.23', '2.3.1.157']), ('B', ['2.7.7.23', '2.3.1.157'])]"
3U0O,2.25,X-RAY DIFFRACTION,10.1128/JB.06012-11,['MG'],"{'A': ['P16456'], 'B': ['P16456']}","['A', 'B']",22081394,P 32 2 1,28-SEP-11,"[('A', ['2.7.9.3']), ('B', ['2.7.9.3'])]"
3UAA,1.7,X-RAY DIFFRACTION,10.1002/ANIE.201107739,"['ACT', 'O', 'CU']",{'A': ['P36649']},['A'],22250058,P 1 21 1,21-OCT-11,
3UAB,1.3,X-RAY DIFFRACTION,10.1002/ANIE.201107739,"['ACT', 'O', 'CU']",{'A': ['P36649']},['A'],22250058,P 1 21 1,21-OCT-11,
3UAC,1.3,X-RAY DIFFRACTION,10.1002/ANIE.201107739,"['ACT', 'O', 'CU']",{'A': ['P36649']},['A'],22250058,P 1 21 1,21-OCT-11,
3UAD,1.1,X-RAY DIFFRACTION,10.1002/ANIE.201107739,"['ACT', 'O', 'CU']",{'A': ['P36649']},['A'],22250058,P 1 21 1,21-OCT-11,
3UAE,1.3,X-RAY DIFFRACTION,10.1002/ANIE.201107739,"['ACT', 'O', 'CU']",{'A': ['P36649']},['A'],22250058,P 1 21 1,21-OCT-11,
3UAG,1.77,X-RAY DIFFRACTION,10.1006/JMBI.1999.2800,"['EPE', 'MN', 'ADP', 'UMA', 'KCX']",{'A': ['P14900']},['A'],10356330,P 41,24-FEB-99,"[('A', ['6.3.2.9'])]"
3UD5,2.0,X-RAY DIFFRACTION,10.1016/J.BMC.2011.11.032,"['J1A', 'EDO']",{'A': ['P26281']},['A'],22169600,C 1 2 1,27-OCT-11,"[('A', ['2.7.6.3'])]"
3UDE,1.88,X-RAY DIFFRACTION,10.1016/J.BMC.2011.11.032,"['ACT', 'J1B']",{'A': ['P26281']},['A'],22169600,P 21 21 2,28-OCT-11,"[('A', ['2.7.6.3'])]"
3UDV,1.88,X-RAY DIFFRACTION,10.1016/J.BMC.2011.11.032,"['ACT', 'J1C']",{'A': ['P26281']},['A'],22169600,P 21 21 2,28-OCT-11,"[('A', ['2.7.6.3'])]"
3ULK,2.3,X-RAY DIFFRACTION,10.1016/J.JMB.2012.09.018,"['SO4', 'MG', 'CSX', 'NDP']","{'A': ['P05793'], 'B': ['P05793']}","['A', 'B']",23036858,P 64 2 2,11-NOV-11,"[('A', ['1.1.1.86']), ('B', ['1.1.1.86'])]"
3UMO,1.7,X-RAY DIFFRACTION,10.1016/J.BPJ.2013.05.028,"['MG', 'ATP', 'K']","{'A': ['P06999'], 'B': ['P06999']}","['A', 'B']",23823238,P 2 2 21,14-NOV-11,"[('A', ['2.7.1.11']), ('B', ['2.7.1.11'])]"
3UMP,1.85,X-RAY DIFFRACTION,10.1016/J.BPJ.2013.05.028,"['MG', 'CS', 'ATP']","{'A': ['P06999'], 'B': ['P06999']}","['A', 'B']",23823238,P 2 2 21,14-NOV-11,"[('A', ['2.7.1.11']), ('B', ['2.7.1.11'])]"
3UQD,2.14,X-RAY DIFFRACTION,,"['ATP', 'ADP', 'MG', 'FBP', 'F6P']","{'A': ['P06999'], 'C': ['P06999'], 'B': ['P06999'], 'D': ['P06999']}","['A', 'C', 'B', 'D']",,C 2 2 21,20-NOV-11,"[('A', ['2.7.1.11']), ('C', ['2.7.1.11']), ('B', ['2.7.1.11']), ('D', ['2.7.1.11'])]"
3UQE,2.2,X-RAY DIFFRACTION,,"['MG', 'POP', 'ATP']","{'A': ['P06999'], 'B': ['P06999']}","['A', 'B']",,P 2 2 21,20-NOV-11,"[('A', ['2.7.1.11']), ('B', ['2.7.1.11'])]"
3UQY,1.47,X-RAY DIFFRACTION,10.1073/PNAS.1119806109,"['SF4', 'NI', 'F3S', 'GOL', 'CL', 'MG', 'F4S', 'LMT', 'FCO', 'SO4']","{'S': ['P69739'], 'M': ['P0ACD8'], 'L': ['P0ACD8'], 'T': ['P69739']}","['M', 'L', 'S', 'T']",22431599,P 21 21 21,21-NOV-11,"[('M', ['1.12.99.6']), ('L', ['1.12.99.6']), ('S', ['1.12.99.6']), ('T', ['1.12.99.6'])]"
3URK,1.5,X-RAY DIFFRACTION,10.1038/NCOMMS2052,"['0CG', 'SF4']","{'A': ['P62623'], 'B': ['P62623']}","['A', 'B']",22948824,P 21 21 21,22-NOV-11,"[('A', ['1.17.1.2']), ('B', ['1.17.1.2'])]"
3USC,2.0,X-RAY DIFFRACTION,10.1073/PNAS.1119806109,"['SF4', 'SF3', 'LI', 'F3S', 'CL', '3NI', 'MG', 'LMT', 'FCO', 'SO4']","{'S': ['P69739'], 'M': ['P0ACD8'], 'L': ['P0ACD8'], 'T': ['P69739']}","['M', 'L', 'S', 'T']",22431599,P 21 21 21,23-NOV-11,"[('M', ['1.12.99.6']), ('L', ['1.12.99.6']), ('S', ['1.12.99.6']), ('T', ['1.12.99.6'])]"
3USE,1.67,X-RAY DIFFRACTION,10.1073/PNAS.1119806109,"['SF4', 'SF3', 'LI', 'F3S', 'GOL', 'CL', 'MG', '3NI', 'F4S', 'LMT', 'FCO', 'SO4']","{'S': ['P69739'], 'M': ['P0ACD8'], 'L': ['P0ACD8'], 'T': ['P69739']}","['L', 'M', 'S', 'T']",22431599,P 21 21 21,23-NOV-11,"[('L', ['1.12.99.6']), ('M', ['1.12.99.6']), ('S', ['1.12.99.6']), ('T', ['1.12.99.6'])]"
3UT6,1.9,X-RAY DIFFRACTION,10.1016/J.FEBSLET.2012.02.039,"['FMC', 'PO4']","{'A': ['P0ABP8'], 'C': ['P0ABP8'], 'B': ['P0ABP8']}","['A', 'C', 'B']",22569248,P 61 2 2,25-NOV-11,"[('A', ['2.4.2.1']), ('C', ['2.4.2.1']), ('B', ['2.4.2.1'])]"
3UTC,1.9,X-RAY DIFFRACTION,10.1038/NCOMMS2052,"['0JX', 'SF4']","{'A': ['P62623'], 'B': ['P62623']}","['A', 'B']",22948824,P 21 21 21,25-NOV-11,"[('A', ['1.17.1.2']), ('B', ['1.17.1.2'])]"
3UTD,1.7,X-RAY DIFFRACTION,10.1038/NCOMMS2052,"['0CJ', 'F3S']","{'A': ['P62623'], 'B': ['P62623']}","['A', 'B']",22948824,P 21 21 21,25-NOV-11,"[('A', ['1.17.1.2']), ('B', ['1.17.1.2'])]"
3UUS,5.65,X-RAY DIFFRACTION,10.1073/PNAS.1112715108,"['FE', 'DTP']","{'A': ['P00452'], 'C': ['P00452'], 'B': ['P00452'], 'E': ['P69924'], 'D': ['P00452'], 'G': ['P69924'], 'F': ['P69924'], 'H': ['P69924']}","['A', 'C', 'B', 'E', 'D', 'G', 'F', 'H']",22160671,C 1 2 1,28-NOV-11,"[('A', ['1.17.4.1']), ('C', ['1.17.4.1']), ('B', ['1.17.4.1']), ('E', ['1.17.4.1']), ('D', ['1.17.4.1']), ('G', ['1.17.4.1']), ('F', ['1.17.4.1']), ('H', ['1.17.4.1'])]"
3UV3,1.6,X-RAY DIFFRACTION,10.1038/NCOMMS2052,"['0CM', 'SF4']","{'A': ['P62623'], 'B': ['P62623']}","['A', 'B']",22948824,P 21 21 21,29-NOV-11,"[('A', ['1.17.1.2']), ('B', ['1.17.1.2'])]"
3UV6,1.7,X-RAY DIFFRACTION,10.1038/NCOMMS2052,"['0CH', 'SF4']","{'A': ['P62623'], 'B': ['P62623']}","['A', 'B']",22948824,P 21 21 21,29-NOV-11,"[('A', ['1.17.1.2']), ('B', ['1.17.1.2'])]"
3UV7,1.6,X-RAY DIFFRACTION,10.1038/NCOMMS2052,"['0CN', 'SF4']","{'A': ['P62623'], 'B': ['P62623']}","['A', 'B']",22948824,P 21 21 21,29-NOV-11,"[('A', ['1.17.1.2']), ('B', ['1.17.1.2'])]"
3UWM,1.8,X-RAY DIFFRACTION,10.1038/NCOMMS2052,"['0K2', '0JX', 'SF4']","{'A': ['P62623'], 'B': ['P62623']}","['A', 'B']",22948824,P 21 21 21,02-DEC-11,"[('A', ['1.17.1.2']), ('B', ['1.17.1.2'])]"
3VD3,2.8,X-RAY DIFFRACTION,10.1016/J.ABB.2012.03.014,"['DMS', 'NA', 'MG']","{'A': ['P00722'], 'C': ['P00722'], 'B': ['P00722'], 'D': ['P00722']}","['A', 'C', 'B', 'D']",22446164,P 1 21 1,04-JAN-12,"[('A', ['3.2.1.23']), ('C', ['3.2.1.23']), ('B', ['3.2.1.23']), ('D', ['3.2.1.23'])]"
3VD4,2.0,X-RAY DIFFRACTION,10.1016/J.ABB.2012.03.014,"['DMS', 'NA', 'MG', 'IPT']","{'A': ['P00722'], 'C': ['P00722'], 'B': ['P00722'], 'D': ['P00722']}","['A', 'C', 'B', 'D']",22446164,P 21 21 21,04-JAN-12,"[('A', ['3.2.1.23']), ('C', ['3.2.1.23']), ('B', ['3.2.1.23']), ('D', ['3.2.1.23'])]"
3VD5,2.7,X-RAY DIFFRACTION,10.1016/J.ABB.2012.03.014,"['DMS', 'NA', 'MG']","{'A': ['P00722'], 'C': ['P00722'], 'B': ['P00722'], 'D': ['P00722']}","['A', 'C', 'B', 'D']",22446164,P 1 21 1,04-JAN-12,"[('A', ['3.2.1.23']), ('C', ['3.2.1.23']), ('B', ['3.2.1.23']), ('D', ['3.2.1.23'])]"
3VD7,2.87,X-RAY DIFFRACTION,10.1016/J.ABB.2012.03.014,"['DMS', 'NA', 'GTZ', 'MG']","{'A': ['P00722'], 'C': ['P00722'], 'B': ['P00722'], 'D': ['P00722']}","['A', 'C', 'B', 'D']",22446164,P 1 21 1,04-JAN-12,"[('A', ['3.2.1.23']), ('C', ['3.2.1.23']), ('B', ['3.2.1.23']), ('D', ['3.2.1.23'])]"
3VD9,2.05,X-RAY DIFFRACTION,10.1016/J.ABB.2012.03.014,"['DMS', 'NA', 'MG', 'IPT']","{'A': ['P00722'], 'C': ['P00722'], 'B': ['P00722'], 'D': ['P00722']}","['A', 'C', 'B', 'D']",22446164,P 21 21 21,04-JAN-12,"[('A', ['3.2.1.23']), ('C', ['3.2.1.23']), ('B', ['3.2.1.23']), ('D', ['3.2.1.23'])]"
3VDA,2.5,X-RAY DIFFRACTION,10.1016/J.ABB.2012.03.014,"['DMS', 'NA', 'MG']","{'A': ['P00722'], 'C': ['P00722'], 'B': ['P00722'], 'D': ['P00722']}","['A', 'C', 'B', 'D']",22446164,P 21 21 21,04-JAN-12,"[('A', ['3.2.1.23']), ('C', ['3.2.1.23']), ('B', ['3.2.1.23']), ('D', ['3.2.1.23'])]"
3VDB,2.05,X-RAY DIFFRACTION,10.1016/J.ABB.2012.03.014,"['DMS', 'NA', '149', 'MG']","{'A': ['P00722'], 'C': ['P00722'], 'B': ['P00722'], 'D': ['P00722']}","['A', 'C', 'B', 'D']",22446164,P 21 21 21,04-JAN-12,"[('A', ['3.2.1.23']), ('C', ['3.2.1.23']), ('B', ['3.2.1.23']), ('D', ['3.2.1.23'])]"
3VDC,2.55,X-RAY DIFFRACTION,10.1016/J.ABB.2012.03.014,"['DMS', 'NA', 'MG', 'IPT']","{'A': ['P00722'], 'C': ['P00722'], 'B': ['P00722'], 'D': ['P00722']}","['A', 'C', 'B', 'D']",22446164,P 21 21 21,04-JAN-12,"[('A', ['3.2.1.23']), ('C', ['3.2.1.23']), ('B', ['3.2.1.23']), ('D', ['3.2.1.23'])]"
3VFJ,2.05,X-RAY DIFFRACTION,10.1107/S0907444912050469,"['GHP', 'NAG', 'CCS', 'T55', 'ACT', 'CAC', 'DAL', 'ZN', '3FG', 'OMX', '3MY', 'GCS', 'MAN']","{'A': ['P0AEX9'], 'G': ['PDB-G']}","['A', 'G']",23519660,C 2 2 21,09-JAN-12,
3VMA,2.16,X-RAY DIFFRACTION,10.1073/PNAS.0904030106,['M0E'],{'A': ['P02919']},['A'],19458048,P 21 21 2,09-DEC-11,"[('A', ['2.4.1.129', '3.4.-.-'])]"
3VU3,2.85,X-RAY DIFFRACTION,10.1371/JOURNAL.PONE.0078216,['HEM'],"{'A': ['P21179'], 'C': ['P0A6X3'], 'E': ['P0A6X3'], 'D': ['P0A6X3'], 'G': ['P0A6X3'], 'F': ['P0A6X3'], 'H': ['P0A6X3']}","['A', 'C', 'E', 'D', 'G', 'F', 'H']",24223139,I 2 2 2,15-JUN-12,"[('A', ['1.11.1.6'])]"
3W15,1.8,X-RAY DIFFRACTION,10.1038/NSMB.2618,"['MG', 'NO3']","{'A': ['P39108'], 'C': ['P27796', 'P0AEX9'], 'B': ['P50091']}","['A', 'B', 'C']",23812376,P 1 21 1,06-NOV-12,
3W9H,3.05,X-RAY DIFFRACTION,10.1038/NATURE12300,['P9D'],"{'A': ['P31224'], 'C': ['P31224'], 'B': ['P31224']}","['A', 'C', 'B']",23812586,C 1 2 1,04-APR-13,
3WAI,1.9,X-RAY DIFFRACTION,10.1186/1472-6807-13-11,,"{'A': ['P0AEX9', 'O29867']}",['A'],23815857,C 1 2 1,03-MAY-13,
3WLX,2.51,X-RAY DIFFRACTION,,['PLG'],"{'A': ['P75823'], 'B': ['P75823']}","['A', 'B']",,C 2 2 21,15-NOV-13,"[('A', ['4.1.2.48']), ('B', ['4.1.2.48'])]"
3WOA,2.0,X-RAY DIFFRACTION,,['MAL'],"{'A': ['P03034', 'P0AEX9']}",['A'],,P 21 21 2,25-DEC-13,
3WYJ,2.1,X-RAY DIFFRACTION,10.1021/JM501449U,['H78'],"{'A': ['P60472'], 'B': ['P60472']}","['A', 'B']",25574764,P 21 21 21,29-AUG-14,"[('A', ['2.5.1.31']), ('B', ['2.5.1.31'])]"
